Anhang zur Grünflächensatzung
Alle Grunflächen nach laufender Nummer sortiert in einer Übersicht:
Lfd. Nr.;Anlagenbezeichnung;X-Wert;Y-Wert
127;Nied Süd zwischen Alzeyerstr. und Landauer Str.;3469591;5551251
128;Nied Im Sechsholder zwischen Hausnummer 54 und 56;3469603;5551930
129;Nidda/Nied Altarm 21;3469611;5552626
130;An der Kreuzheck;3469625;5549979
131;Auf dem Gleichen;3469639;5552040
132;Geisenheimer Strasse 3;3469655;5550358
133;Nied Bildäckerstrasse;3469658;5551493
134;Deidesheimer Strasse;3469659;5550198
135;Schwanheimer Brücke Bolzplatz und Spielplatz;3469681;5550846
136;Im Sechsholder vor Hausnummer 39 bis 47;3469682;5551769
137;Mainufer Schwanheim;3469704;5550695
138;Martin-Heinrich-Anlage;3469708;5549897
139;Lönsweg;3469747;5549737
140;Tannenwaldplatz;3469769;5549838
141;Schwanheimer Bahnstraße;3469776;5549351
142;Alzeyer Strasse und Grünzug;3469780;5551263
143;Nied Süd zwischen Dürkheimer Strasse und Alzeyerstrasse;3469780;5551402
144;Marschallwiese;3469807;5551174
145;Speierling Allee Sossenheim;3469858;5553225
146;Nördlich Fridjof-Nansen-Schule;3469900;5551542
147;Nidda/Nied Altarm 20;3469924;5552760
148;Birminghamstrasse Am Altersheim;3469952;5551866
149;Nied Süd Bolzplatz;3469954;5551291
150;Nidda /Sossenheim Altarm 19;3469966;5553003
151;Werner-Bockelmann-Strasse 69;3470051;5552116
152;Eifelstraße Am alten Brückenkopf;3470059;5550282
153;Werner- Bockelmannstrasse südlich;3470080;5552010
154;Kurt-Blaumstrasse östlich;3470105;5551921
155;Fritz-Klatte-Strasse;3470108;5551084
156;Werner-Bockelmann-Strasse 117;3470191;5552125
157;Werner-Bockelmannstrasse an der Eisenbahn;3470193;5552144
158;Rheinlandstrasse entlang der Straßenbahn;3470241;5549668
159;Nidda /Nied Altarm 18;3470254;5552917
160;Bohnengelände;3470262;5553746
161;Mainzer Landstrasse nördlich der B 40a;3470291;5551794
162;In der unteren Lachwies;3470317;5551468
163;Am Selzerbrunnen Waldspielpark;3470373;5552775
164;Werner-Bockelmannstr. Ost;3470419;5552059
165;Ferdinand-Scholl-Ring Spielplatz;3470422;5552212
166;Nidda /Sossenheim Altarm 17;3470456;5553102
167;Mitten im Feld;3470540;5554433
168;Schwanheimer Ufer von Schwanheimer Brücke bis Autobahn;3470631;5550256
169;Grünstreifen am K.G. V. Schwanheim;3470758;5550153
170;Eichhörnchenpfad;3470789;5551944
171;Nidda/ Nied Altarm 16;3470795;5553016
172;Vogelschutzgehölz Rödelheim;3470823;5554788
173;Henriette-Fürth-Strasse Bolzplatz;3470828;5550012
174;Henriette- Fürth- Strasse;3470903;5550065
175;Jägerallee zwischen Elster- und Wildentenstr.;3470928;5551739
176;Rheinlandstrasse An der Abzweigung Schwanheimer Ufer;3470971;5550138
177;Hartweg Eichwald;3470973;5549468
178;Harthweg Goldstein;3471058;5549608
179;Marderweg;3471081;5551725
180;Nidda /Griesheim (Ehem.Freibad Am Neufeld);3471110;5553121
181;Grünzug zwischen Mainzer Landstrasse und Ahornstrasse;3471176;5551442
