Anhang zur Grünflächensatzung
Alle Grunflächen nach laufender Nummer sortiert in einer Übersicht:
Lfd. Nr.;Anlagenbezeichnung;X-Wert;Y-Wert
520;Rottweiler Strasse;3475812;5551747
521;Gutleutstrasse 147;3475827;5551804
522;Am Lindenbaum Ecke Eschersheimer;3475844;5557539
523;Grüneburgpark;3475848;5554596
524;Ben- Gurion-Ring Grünzug;3475854;5561344
525;Anne-Frank-Strasse Zehnmorgenstrasse;3475874;5558238
526;Westendplatz;3475888;5553047
527;Lindenstrasse 40;3475891;5553585
528;Gruenzug suedlich der U-Bahn Bonames;3475896;5560964
529;Brandhöfchen;3475920;5560417
530;Fontanestrasse;3475932;5557026
531;Vogelschutzgehölz Flur 15 Bonameser Straße;3475941;5559350
532;Am Lindenbaum;3475971;5557582
533;Adalbert-Stifter-Strasse;3475971;5556651
534;Eppsteiner Strasse;3475980;5553833
535;Rollschuhbahn an der Platenstr.;3475998;5555717
536;Adam-Heinstadt-Strasse;3476004;5562580
537;Auf der Steinkaute Vogelschutzgehölz;3476011;5559193
538;Odina-Bott-Platz;3476012;5553619
539;Theodor-Stern-Kai Tiefkai;3476013;5551385
540;Jean-Paul-Strasse (Teil der Klimschanlage);3476034;5556451
541;Ehemaliger Landwehrgraben Eschersheim;3476041;5558083
542;Karlsplatz;3476045;5552669
543;Carl-von-Noorden-Platz;3476047;5551304
544;Baseler Straße u. Platz;3476051;5551944
545;Moerfelder Landstrasse;3476054;5550009
546;Elsa-Brändström-Platz;3476063;5553178
547;Wilhelm-Floegel-Ring;3476070;5562701
548;Am Eschbach Vogelschutzgehölz;3476075;5563803
549;Im Geeren Grünzug;3476079;5558485
550;Gladiolenstraße westlich;3476087;5563179
551;Bonameser Strasse Vogelschutzgehölz;3476099;5559248
552;Hauptbahnhof;3476101;5552364
553;Ludwig-Rhenstrasse;3476116;5551299
554;Hans Burggraf Anlage Grillparzer Strasse;3476119;5556584
555;Westhafenplatz;3476123;5551757
556;Paul-Ehrlicher-Strasse;3476129;5551047
557;Homburger Landstrasse 646;3476134;5560773
558;Dehnhardtstrasse Spielplatz;3476138;5557545
559;Altkoenigsbrunnen;3476141;5553874
560;Am Wendelsgarten Bonames;3476200;5560907
561;Gruendreieck an Homburger Landstrasse;3476210;5561125
562;Am Lindenbaum beim Wasserturm;3476224;5557712
563;Simon-Bolivar-Anlage;3476231;5554130
564;Klimsch-Anlage;3476234;5556534
565;Im Storchenhain;3476241;5560829
566;Gladiolenstrasse östlich;3476241;5563211
567;Homburger Landstrasse Naturwiese;3476245;5562250
568;Anne-Frank-Siedlung Eschersheimer Feld;3476309;5558229
569;Louisa;3476310;5550117
570;Ebereschenweg;3476310;5558996
571;Anzengruberstraße;3476328;5556208
572;Friedrich-Fauldrath-Anlage;3476344;5561168
573;Albert-Schweitzerstrasse;3476382;5562736
574;Heinrich-Berbalk-Strasse;3476391;5561782
575;Im Waldfeld;3476408;5558576
576;Burgholzer Platz;3476413;5557788
577;Homburger Landstrasse Lindenallee;3476457;5559985
578;Rothschildpark;3476470;5553587
579;Nordpark Bonames;3476480;5560409
580;Deuil-La-Barre-Str. vor dem Konsum;3476498;5562526
581;Görlitzerstrasse Grünstreifen entlang U-Bahn;3476502;5562723
582;Taunusanlage;3476507;5553000
583;Edinger Weg Spielplatz;3476507;5555433
584;Aussiger Straße Kreisel;3476510;5550116
585;Reinhardstraße und Grünfläche vor der Andreaskirche;3476516;5557224
586;Stresemannalle am Bahnhf. Louisa;3476532;5549822
587;Schreyerstrasse;3476536;5551511
588;Ligusterweg;3476540;5558848
589;Friedlebenstrasse;3476553;5556813
590;Duisbergstrasse Spielplatz;3476556;5555235
591;Ziegenhainerstrasse nordöstlich;3476559;5557780
592;Tannenweg;3476563;5562932
593;Liebighaus;3476567;5551784
594;Bremer Strasse /Ecke Eschersheimer Landstrasse;3476582;5554529
595;Taunustor;3476583;5552776
596;Stresemannallee im Bereich Riedhof;3476606;5550672
597;Am Rathaus Nieder-Eschbach;3476608;5562573
598;Alte Oper;3476610;5553404
599;Nizza;3476620;5552142
600;Waldecker Strasse Grünanlage bei Andreaskirche;3476624;5557340
601;Gallusanlage;3476638;5552658
602;Auf dem Ried;3476642;5563210
603;Vogelschutzgehölz Heinrich Becke;3476649;5563426
604;Grünzug an der Fritz- Tarnow-Strasse;3476656;5556241
605;Am Ehrenmal Nieder- Eschbach;3476658;5563025
606;Harheimer Weg gegenueber Hs. Nr. 42a;3476678;5560729
607;Schaumainkai von Friedensbruecke bis Untermainbrücke;3476684;5551976
608;Wickenweg Spielplatz;3476690;5559110
609;Bertramstrasse/Eschersheimer Landstrasse;3476713;5555604
610;Im Waldfeld;3476714;5558001
611;Rudolf-Breitscheid-Strasse Parkplatz;3476722;5562673
612;Untermainanlage;3476722;5552420
613;Sinai Park;3476728;5556595
614;Koerner Strasse Spielplatz Nr. 463;3476742;5554027
615;Körnerwiese;3476747;5554136
616;Wickenweg;3476760;5559196
617;Berkersheimer Weg Grünanlage;3476766;5559057
618;Jüdisches Museum;3476768;5552385
619;Riedhofweg Tiroler Park;3476778;5550783
620;Elisabeth- Schwarzhaupt- Anlage;3476808;5557310
621;Beuthener Str.;3476819;5550485
622;Otto-Hahn-Platz;3476823;5551651
623;Adolf-Reichweinstrasse;3476830;5556470
624;Bieberpark;3476878;5562644
625;Eysseneckstrasse;3476889;5554878
626;Bockenheimer Anlage;3476890;5553469
627;Gebrüder-Hommel-Anlage;3476906;5557310
628;Thorwaldsenplatz;3476911;5551408
629;Lerchesberg Briandring;3476923;5549583
630;Rathenauplatz-Goetheplatz;3476927;5553031
631;Riedhof Tiroler Park Grünzug;3476934;5550861
632;Marbachanlage;3476940;5556332
633;Untermainbrücke Spielplatz;3476962;5552426
634;Bertramswiese/Parkplatz;3476975;5555810
635;Weissfrauenstrasse/Bethmannstrasse;3476986;5552659
636;Börsenplatz;3476997;5553236
637;Holbeinstrasse;3477002;5551478
638;Taubenstrasse;3477005;5553390
639;Am Strudel;3477044;5562741
640;vor dem Karmeliterkloster;3477045;5552638
641;Holzhausenpark;3477059;5554497
642;Karmeliterkloster Innenhof;3477059;5552608
643;Innenstadt Mainufer/Mainkai;3477075;5552517
644;Klettenbergstrasse;3477082;5554748
645;Albert- Einsteinstrasse;3477082;5562915
646;Breslauer Straße Am Bahndamm;3477097;5550786
647;Weissadlergasse;3477100;5552887
648;Bundesrechnungshof;3477119;5552798
649;Lerchesberg;3477127;5549185
650;Eschenheimer Tor;3477140;5553517
651;Schaumainkai von Untermainbrücke bis Eiserner Steg;3477155;5552306
652;Innenstadt Kornmarkt;3477158;5552898
653;Frauensteinplatz;3477181;5554920
654;Buchgasse;3477182;5552647
655;Museumspark;3477207;5552222
656;Paulskirche;3477208;5552822
657;Lerchesberg Spielplatz;3477231;5549679
658;Kaiser-Sigmundstrasse;3477238;5555879
659;Deuil-la-Barre-Strasse Vogelschutzgehölz;3477238;5564189
660;Kastanienallee;3477242;5554513
661;Liebfrauenstrasse Neue Kräme;3477262;5552998
662;Alte Mainzer Gasse 15;3477265;5552619
663;Mainufer/Mainkai 37-38;3477269;5552592
664;Tannenwald;3477270;5547022
665;Georg-Esser-Anlage;3477272;5557301
666;Innenstadt Limpurgergasse/Fried-Lübbecke-Anlage;3477284;5552690
667;Liebfrauenberg;3477303;5552999
668;Oberschweinstiegschneise 65;3477308;5548476
669;Die Honigwiesen auf den Honigberg;3477309;5561838
670;Adlerflychtplatz;3477314;5554264
671;Paul-Hindemith-Anlage;3477323;5554445
672;Ziegelhüttenplatz;3477330;5551064
673;Sternplätzchen;3477344;5553841
674;Eckenheimer Landstrasse Kirchgarten;3477355;5556937
675;Petunienweg;3477369;5559012
676;Eschenheimer Anlage;3477372;5553642
677;Saalhof Kapelle/ Historisches Museum;3477397;5552639
678;Lerchesberg An den Tennisplätzen;3477398;5549359
679;Oppenheimer Platz;3477401;5552009
680;Stephanstrasse;3477433;5553414
681;Braubachstraße Technisches Rathaus;3477449;5552781
682;Petersfriedhof;3477461;5553487
683;Berkersheimer Weg Ami-Spielplatz;3477477;5559236
684;Römerberg Historischer Garten;3477486;5552752
685;Saalgasse / Am Geistpförtchen;3477489;5552660
686;Dreikönigskirche;3477526;5552380
687;Mittlerer Hasenpfad Spielplatz;3477532;5551171
688;Fahrtorwerft;3477532;5552605
689;Hauptfriedhof;3477535;5555637
690;Jasminweg;3477545;5558797
691;Im Trierischen Hof;3477554;5553030
692;Sachsenhaeuser Ufer von Eiserner Steg bis Alte Bruecke;3477556;5552419
693;Klaus-Mann-Platz;3477571;5553444
694;Heinrich-Wilhelm-Römer-Anlage;3477571;5557470
695;Diesterwegplatz;3477580;5551585
696;Köppler-Höfchen;3477589;5552838
697;Domgarten;3477589;5552756
698;Große Fischerstraße linker Innenhof;3477590;5552685
699;Dörpfeldstrasse;3477593;5556436
700;Kirschwäldchen;3477611;5556937
701;Hainerhof;3477617;5552851
702;Große Fischerstraße Mittelhof;3477633;5552693
703;Kannengießergasse;3477638;5552825
704;Nieder-Eschbacher Weg;3477640;5561153
705;Weckmarkt;3477641;5552783
706;Weckmarkt/ Mainblock;3477645;5552660
707;Fahrgasse Ecke Staufenmauer;3477648;5553095
708;Löher Strasse Spielplatz;3477649;5552351
709;Große Fischerstraße rechter Innenhof;3477670;5552706
710;An der Staufenmauer;3477672;5553026
711;Alter Friedhof Sachsenhausen;3477673;5552004
712;Eschenheimer Anlage II;3477676;5553705
713;Maininsel;3477692;5552467
714;Spitzenstrasse;3477704;5560946
715;Fahrgasse 4-20 (Gagfa-Hof);3477710;5552809
716;Scheffelstrasse;3477712;5553862
717;Konstabler Wache;3477732;5553163
718;Dominikaner Kloster;3477738;5552919
719;Flutgraben;3477741;5557955
720;VSG Am Ulmenrück;3477756;5559311
721;Nordendplatz;3477776;5554791
722;Haintalstrasse Umspannanlage;3477778;5560886
723;Weberstrasse;3477784;5554286
724;Deutschordenshaus;3477787;5552356
725;Ossietzkystrasse;3477795;5551349
726;Nibelungenallee;3477817;5554976
727;Grethenweg Spielplatz;3477867;5551298
728;Hessendenkmal / Friedberger Landstrasse 19-29;3477873;5553735
729;Darmstädter Lanndstraße Mailänder Straße;3477875;5550783
730;Glauburgplatz;3477883;5554630
731;Affentorplatz;3477899;5552057
732;Sachsenhäuser Ufer von Alte Brücke bis Ignatz-Bubis-Brücke;3477903;5552390
733;Die Mühlwiesen;3477912;5561125
734;Harheim Ehrenmal;3477933;5561015
735;Darmstädter Landstraße von Wendelsplatz-Mailaender Straße;3477935;5551173
736;Theobald-Ziegler-Straße;3477955;5556904 737 Am Hohen Ufer;3477958;5561214
738;Hermannspforte;3477960;5560658
739;Bethmann-Park;3477969;5553687
740;Schöne Aussicht;3477986;5552582
741;Sachsenhaeuser Warte;3477998;5550279
742;Darmstädter Landstraße Südfriedhof;3478006;5550529
743;Wendelsplatz;3478007;5551619
744;Philipp-Schnellstrasse/Hessenpforte Denkmal;3478009;5560808
745;Heisterstrasse;3478036;5551907
746;Friedberger Platz;3478052;5554161
747;Friedberger Landstrasse;3478055;5554549
748;Friedberger Anlage;3478074;5553411
749;Allerheiligenstraße;3478092;5553070
750;Konrad-Hoenen-Weg;3478094;5557392
751;Am Auweg, Umspannanlage;3478110;5560537
752;Alte Stadtbibliothek;3478120;5552640
753;Muelbruchstrasse;3478146;5551837
754;In den Schafgärten;3478149;5561025
755;Harheimer Rathaus u. Alter Kirchplatz;3478152;5560726
756;Deutschherrnufer Tiefkai westlich;3478182;5552351
757;Am Nonnenhof Spielplatz;3478193;5557813
758;Offenbacher Landstraße 3-49;3478196;5551735
759;Auf der Platte;3478197;5556967
760;Obermainanlage;3478203;5552857
761;Merianstraße Ecke Elkenbachstraße;3478211;5553910
762;Babenhäuser Landstrasse;3478212;5549988
763;Jaspertstraße;3478215;5557274
764;Oberwiesenstrasse Mulan-Spielplatz;3478225;5558113
765;Rotlintstrasse;3478238;5554667
766;Zur Untermuehle;3478243;5560923
767;Am Lausberg;3478251;5558095
768;Trasse der Linie 39;3478256;5558796
769;Am Herrenhof;3478257;5559584
770;Merianplatz;3478269;5553879
771;Alt Harheim;3478272;5560831
772;Obermainstrasse Spielplatz;3478274;5552668
773;Friedberger Anlage Jüdische Gedenkstätte;3478282;5553204
774;An den drei Hohen Spielplatz;3478302;5557862
775;Im Klingenfeld Kriegerdenkmal;3478339;5559479
776;Karl-Kirchner-Siedlung;3478346;5557459
777;Rothschildallee;3478382;5554577
778;Luisenplatz;3478383;5554055
779;An der Pfarrwiese Spielplatz;3478408;5560669
780;Vogelschutzgehölz An der Nidda Berkersheim;3478410;5560356
781;Grünzug Gundelandstrasse;3478421;5557970
782;Günthersburgallee;3478424;5554515
783;Jenny-Apolant-Weg;3478425;5552538
784;Hühnerweg;3478456;5551518
785;An der Pfarrwiese mit Pumpstation;3478459;5560649
786;Zum Apothekerhof;3478461;5552111
787;Harheimer Stadtweg;3478468;5560679
788;Sachsenhäuser Landwehrweg 137;3478471;5550237
789;Martin-Elsässer-Weg;3478475;5552754
790;Hallgartenstraße/Martin-Luther-Straße;3478484;5554871
791;Alfred-Brehm-Platz;3478484;5553335
792;Mariannenstr.;3478499;5551707
793;Am Kalten Berg Buswendeschleife;3478500;5559455
794;Deutschherrnufer Tiefkai östlich;3478502;5552302
795;Weseler Werft;3478504;5552469
796;Walter-Kolb-Siedlung;3478527;5556452
797;Heideplatz;3478544;5554113
798;Butzbacher Straße;3478562;5555110
799;Friedberger Landstrasse 414 Friedberger Warte;3478577;5556097
800;Wasserpark;3478585;5555660
801;Am Sandberg;3478599;5551033
802;Sachsenhäuser Landwehrweg 99-105;3478606;5550256
803;Walter-Hesselbach-Strasse Spielplatz;3478614;5556372
804;Riedhalsstrasse Römerbrunnen und Grünanlage;3478627;5560945
805;Offenbacher Landstrasse S-Bahnstation;3478646;5551792
806;Steinhausenstrasse;3478657;5551351
807;Zum Laurenburger Hof;3478660;5552225
808;Wetteraustrasse (Spielplatz);3478672;5555303
809;Deutschherrnufer Promenade;3478686;5552252
810;Offenbacher Landstrasse 84-116;3478689;5551669
811;Am Borsdorfer Spielplatz;3478705;5557736
812;Alt Erlenbach Halfpipe;3478711;5563862
813;Germaniaplatz;3478719;5554337
814;Herrenapfelstrasse Spielplatz 2 Renettenstrasse;3478747;5557548
815;Walter-Hesselbach-Strasse Spielplatz 2;3478764;5556449
816;Am Muehlkanal;3478783;5551513
817;Harheimer Ried;3478816;5560883
818;Arnsburgerstraße;3478842;5554110
819;Günthersburgpark;3478850;5554977
820;Herrenapfelstrasse Spielplatz 1;3478922;5557584
821;Seehofpark;3478942;5551142
822;Hanauer Landstrasse (Ecke Sonnemannstrasse);3478966;5552862
823;Strahlenberger Weg;3478992;5551941
824;Petterweilstraße;3479011;5554579
825;Comeniusstraße;3479027;5555289
826;Habsburger Allee;3479030;5553741
827;Am Alten Weg/ Alt Erlenbach;3479035;5563555
828;Dörnigheimerstrasse;3479037;5553152
829;Im Pruefling;3479125;5554815
830;Lochmühlstrasse;3479200;5563160
831;Zum Schäferköppel;3479239;5563248
832;Am Bürgerbrunnen;3479311;5562993
833;Alt Erlenbach 42(Parkplatz am Rathaus);3479312;5563067
834;Das Seyl Nieder-Erlenbach;3479355;5564163
835;Alte Fahrt 11;3479365;5562887
836;Wittelsbacher Allee;3479373;5554115
837;Osthafenplatz;3479469;5552816
838;An der Ulmenklaue;3479472;5555847
839;Bornweg;3479474;5562476
840;Goetheturm;3479481;5550305
841;Freizeitpark Nieder-Erlenbach;3479502;5563423
842;Parkplatz am Buergerhaus Nieder-Erlenbach;3479513;5563293
843;Luxemburgerallee;3479529;5553662
844;Oberwiesenweg;3479532;5558869
845;Butterwecksgewann;3479533;5564885
846;Feldgehölze Am Kreuzberg Nieder-Erlenbach;3479541;5563823
847;Pestalozziplatz;3479558;5554542
848;Mainufer Gerbermühle bis Stadtgrenze;3479566;5552204
849;Am Steinberg Trafostation/ Alt Erlenbach;3479595;5562931
850;Nußbaumplatz;3479598;5555425
851;Alfred-Delp-Straße;3479616;5551192
852;Berger Straße Grünanlage;3479625;5555560
853;An den Bergen Spielplatz;3479640;5563211
854;Parlamentsplatz;3479646;5553818
855;Feldgehölze Nieder-Erlenbach Flur 5;3479659;5563535
856;Am Bier;3479661;5563442
857;Balduinstrasse;3479682;5551312
858;Lilli-Schoenemann-Steige;3479682;5553484
859;Huthpark;3479682;5556489
860;Eulengasse;3479717;5555179
861;An den Bergen/Sitzplatz;3479724;5563244
862;Galeriebauwerk Seckbach;3479743;5555761
863;Georg-Treser-Straße;3479796;5551301
864;Ernst-May-Platz;3479799;5554504
865;Im Bärengarten;3479803;5552007
866;Ostparkstraße;3479813;5553646
867;Karl-Flesch-Strasse;3479843;5554263
868;Röderberghang;3479879;5553877
869;Spatzengasse (Bonn´sche Liegenschaft);3479904;5551455
870;Kochstraße Denkmal Grüne Soße;3479910;5551676
871;Wildgäßchen;3479996;5551457
872;Kettelerallee 72;3480002;5554839
873;Rose-Schlösinger-Anlage;3480005;5554553
874;Enkheimer Strasse;3480095;5555686
875;Herrenwäldchen;3480098;5555411
876;Scheerwald;3480105;5550287
877;Mathildenplatz;3480121;5551512
878;Hofhausstraße;3480127;5556811
879;Atzelbergplatz;3480144;5556155
880;Wilhelmshöherstraße An der Rosenkranzkirche;3480164;5556074
881;Ostpark;3480195;5553826
882;Wilhelmshöherstraße 50;3480203;5556010
883;Aussichtsplatz Nieder-Erlenbach;3480230;5565086
884;Waltraud-Müller-Alizadeh-Anlage;3480256;5551441
885;Atzelberg Grünanlage;3480260;5556301
886;Charlotte-Schiffler-Straße;3480267;5551163
887;Hildegard-Schäder-Strasse;3480282;5551037
888;Buchrainplatz;3480345;5551626
889;An der Marienkirche;3480427;5556359
890;Sausee Fußweg;3480473;5555943
891;Wilhelmshöherstraße;3480497;5556409
892;Lohrparkschaenke;3480563;5557223
893;Sausee;3480623;5555890
894;Melanchthonplatz;3480630;5551337
895;Johanna-Tesch-Platz;3480636;5554627
896;Lohrpark;3480668;5557214
897;Oberrad an der S-Bahn;3480677;5552110
898;Am Erlenbruch;3480748;5554886
899;Schafheckplatz;3480792;5551464
900;Rümelinstraße;3480843;5554844
901;Raiffeisenstraße;3480847;5554676
902;Wiener Strasse Grünverbindung Waldfriedhof Oberrad;3480922;5551130
903;Engelsplatz;3480941;5554878
904;Riederwald;3481024;5558302
905;Berger Ehrensäule;3481073;5551542
906;Grazer Weg;3481075;5554285
907;Lassallestrasse;3481175;5554937
908;Flinschstraße;3481245;5555261
909;N.S.G. Seckbacher Ried;3481263;5556464
910;Berger Warte;3481382;5558202
911;Thünenstraße;3481387;5554621
912;Jüdischer Friedhof Bergen-Enkheim;3481395;5558342
913;Erlenbruch;3481450;5555121
914;Harkortstraße;3481480;5554689
915;KTZV Riederwald;3481547;5554334
916;Im Rosenträger Spielplatz 494;3481653;5557668
917;Cunostrasse Spielplatz;3481755;5557822
918;Voltenseeweg;3481769;5556636
919;Teufelsbruch;3481850;5555325
920;Kirchgasse;3481851;5557504
921;Vilbeler Landstrasse 190 - 216;3481959;5557515
922;Landgraben;3482164;5557816
923;Wächtersbacherstr. An den Holzwiesen;3482226;5555524
924;Lauterbacherstraße;3482235;5555380
925;Florianweg 23;3482242;5556893
926;Heinrich-Bingemer-Weg;3482269;5557448
927;Wächtersbacherstrasse;3482275;5555213
928;VSG Vilbeler Wald;3482290;5559142
929;Florianweg Polizeirevier;3482311;5556980
930;Schelmenburg;3482314;5557794
931;Florianweg Feuerwehr;3482338;5556948
932;Beckerserlen;3482340;5556690
933;Gangstraße;3482408;5557740
934;Im Sperber;3482498;5557634
935;Alfred-Göbel-Weg;3482498;5557340
936;Am Königshof;3482569;5557703
937;Im Steinchen;3482637;5557557
938;An der Stadtmauer;3482670;5557647
939;Wäschbachquelle;3482696;5557626
940;Röhrborngasse;3482706;5557027
941;Am Bächelchen;3482725;5557581
942;Marktplatz Bergen-Enkheim;3482810;5558018
943;Bornweidstraße;3482827;5557006
944;Adam-Opel-Straße;3482843;5554312
945;Winzersteige;3482849;5557509
946;Bachrain;3483008;5557476
947;Mönchhof;3483019;5557299
948;Jean-Kempf-Weg;3483030;5556238
949;Leo-Gans-Strasse und Spielplatz;3483036;5554386
950;Fritz-Schubert-Ring / Speierlingweg;3483131;5557582
951;An der Seehecke;3483135;5554408
952;Bodenseestraße / Leo-Gans-Straße;3483149;5554298
953;Am Hennsee;3483208;5554072
954;Bodenseestrasse Ecke Konstanzer Strasse;3483269;5554224
955;VSG Eselsweg;3483272;5559359
956;Kilianstädter Strasse;3483325;5555534
957;Konstanzer Straße Grünverbindung Goetzstraße;3483340;5554357
958;Leuchte Spielplatz;3483347;5556460
959;Leuchte Parkplatz;3483357;5557174
960;Heinrich-Kraft-Park;3483398;5555749
961;An der Ruhbank;3483425;5558004
962;Am Hollgraben;3483437;5558087
963;Am Enkheimer Ried;3483509;5557039
964;Alt Fechenheim 67-123;3483554;5554287
965;Fechenheimer Leinpfad;3483631;5553491
966;Alt Fechenheim 131;3483740;5553995
967;Dietesheimer Straße;3483757;5553446
968;Fechenheimer Leinpfad Feldgehölz 2;3483906;5552969
969;N.S.G. Enkheimer Ried;3483946;5557372
970;Fechenheimer Leinpfad Feldgehölz 1;3483982;5552673
971;Fechenheimer Leinpfad Feldgehölz 3;3484197;5553049
972;Fechenheimer Leinpfad Feldgehölz 4;3484221;5553440
973;Stegweidhof Vogelschutzgehölz;3484266;5559103
974;N.S.G. Berger Hang;3484297;5557940
